17636	282	3754			
17636	3451	811			
15091	3457	444	5000		
15091	2552	3754	444	5000	
15091	3757	811			
2211	3615	3757			
15091	3615	736			
2603	736	742			
15091	2552	3754	479	5000	821
2552	3458	479	821		
1884	3457	479			
1380	3182	479	5000		
2786	479	739	810		
1884	3603	479			
1285	3366	3374	479		
283	3374	3605	479		
184	283	3374	479	481	
2643	297	3374	479		
1003	1285	297	3460	479	
283	3374	3460	479		
2212	3460	479			
13761	1884	3182	3460	479	
11311	1884	3182	3460	479	
15091	3456	3615			
3615	3616	3617	3618		
1286	1883	3615			
3456	3457	3458			
3456	5000	5113			
2211	3456	3619	3754		
3451	5003	5113			
3449	3450	3451			
182	5004	5650			
182	183	184	4493		
182	184	820			
3453	5113	5502			
186	187	2076	3381		
186	187	2076	5000		
186	187	2076	2643		
186	187	2074	2075	2076	
186	187	2076	4152		
441	442	5001			
3127	4999	5000	5001		
2213	3453	5502			
3453	4630	5502			
739	741	742			
1002	1003	1004	1011		
1885	2643	819			
1883	1885	3458	3619	3620	821
1883	1885	3619	3620	3754	443
11311	2214	2492	2603		
13761	2214	2492	3182		
1380	2214	2492	3182		
183	2075	3620	823		
183	184	3603			
2074	3453	5650			
3374	3605	820			
2075	819	820	821	823	
818	819	820	821	822	823
2603	297	3621			
2603	2785	3621			
3374	3621	441	442		
3619	3620	3621			
13761	2603	3758			
1286	1883	2075	737		
1286	1883	3619	3620	443	
1286	2075	2646	821	823	
1001	3374	3602			
3374	3602	7404	822		
2643	3374	3602	822		
3452	3602	481			
3602	3754	482			
2075	2212	482			
3453	4152	482			
3619	3620	3754	482	821	
1286	1883	2075	3620	821	823
2552	2553	3619	3620		
2553	3619	3620	822		
2048	3619	3620	823		
2050	2552	3754			
2047	2048	2049	2050		
2211	2212	739			
2213	3620	821	823		
1380	1884	3182	3616	3758	442
184	3371	3374	3603		
184	3371	3616			
13761	3182	3616	442	818	
11311	3182	3616	442	818	
261	819	821			
1286	2075	2366	3457		
1286	2075	3605			
1380	1884	819			
1003	1004	1285	441		
3603	3604	3605			
1004	3366	3605			
