2081	3135	3590	444										
1174	1346	2079	2080	3590									
1174	1175	1346	2079	2937	3590								
1174	1346	2079	2900	2937	3590								
1174	1307	2937	3590										
1346	195	3223											
1173	1174	1175	1176	1346									
1173	1174	1176	1346	3270									
1174	1176	1346	2081	3135									
1175	1346	2443	441										
1173	1247	1346	3223										
11724	1306	1346	2079										
1174	3896	4049											
1173	1174	2444	3270	4049									
1177	2444	3270	4049										
192	2444	4049											
2262	3894	3895	4049	485									
11724	1245	444											
20420	2080	444											
1071	1307	2937	3223										
1173	1174	1307	2937	3223									
1173	1307	3223	3894										
1174	2900	4939											
2081	3135	4864											
1534	2081	3135											
2081	3135	5053											
2081	3133	3134	3135	9758									
2079	2080	5228											
2937	4876	4877	4878										
1535	1790	1876	2900	2942									
193	2900	443											
1535	1876	2079	2900	3894									
3965	485	547											
1175	2079	2443	3248	3249	547	904							
2262	2443	485	547	904									
1247	3965	4865											
2941	3223	4858											
3221	3222	3223											
1231	2443	3895	4375	485									
1065	1177	1789	2902	3203	3267								
1177	1536	2443	2444										
1177	1536	1789	1876	2262	3246	3894							
1175	1876	2079	3246	3248	3249	3588	904						
1065	1175	1231	1536	1789	2262	2443	2898	2902	3588	854	904		
1065	1175	2902	3268	3588	441	854							
1175	1287	2262	2443	3588									
2079	3248	3588	4858										
1790	2443	3248	3249	3266	3588	904							
1790	1876	3221	3246	3248	3249	3588							
3248	3249	3250	3588	3896									
2902	3266	3268	3588	441	442								
2902	3134	3221	3266	3268	3588	441	854						
3250	3588	3894	443										
3259	3588	3894	4939										
1065	1231	1536	1789	2262	2443	2898	2902	3588	3894	3895	485	854	904
1065	1231	1789	2902	3246	3268	3588	3894	3895	485	854			
1065	1789	2902	3134	3221	3268	3588	3894	3895	485	854			
2902	2942	3246	3266	3588	3894	3895							
1231	1536	1789	1876	2262	3246	3588	3894	3895	485	904			
1789	1876	3134	3221	3268	3588	3894	3895	485					
1789	1790	2898	3134	3221	3588								
1536	1789	1790	1876	2262	3246	3588	904						
3134	3588	3895	858										
1876	3588	3895	3896										
3250	3251	3588											
192	193	3588											
1065	1066	1071	2443										
1065	1066	1175	3203	904									
1071	195	443											
1065	1071	2079	2443										
2444	2940	5053											
1246	1247	4533	4860										
1243	1245	1246	1247	4860	4864								
2896	2897	2939											
1176	2939	2940											
1065	1789	2902	3203	3267	3895	485	904						
3264	3267	3268											
2902	3203	856											
1306	2079	858											
1535	3206	3222											
1175	1287	3206											
1535	2942	3206	3894	443									
1535	1876	2942	3206	3894	3895	485							
3224	3894	3895	485										
1535	1790	1876	3246	442									
1535	2942	3259	3894										
3248	3249	5053											
1231	2902	3222											
1243	1245	1246	4858	4860	4863	4864							
2940	3259	4107											
2895	2896	4695											
854	855	856											
1231	2902	3894	4695										
3216	4107	4108	4109										
1788	1789	1790											
3259	3260	3894											
2898	4690	4691											
2079	2443	2937											
