2201	3103	3374				
2461	3103	3374	438			
2461	2779	3103	650			
3103	3381	3798				
3795	3798	650				
650	651	652				
2200	2461	3795	650			
2200	2461	3435	650			
2200	3541	650				
2201	2280	2779				
2199	2200	2201	2203			
2200	2203	2461	438			
1906	2461	653				
12885	2458	2459	2461	2507		
2458	2459	2460	2461	2507	6507	
2207	2458	2459	2460	2461	2507	
3366	3374	3798	438			
3374	3546	652				
3374	3541	4469				
3371	3374	3945				
1385	3374	4469				
1172	1804	3798				
2779	2780	653				
2779	2780	2781				
1804	1809	3381				
1805	1806	3946	591	653		
2145	2203	653				
2203	2275	653				
2130	3948	654				
2203	2784	3540				
1909	2590	2780				
2199	2780	3540				
2207	3546	4476				
1332	2459	2507	3434			
2290	2458	2459	2460	2507		
2287	2459	2590	2591			
1908	2199	2287	2459	3540		
17814	1803	2458				
2205	2458	3540	9731			
2460	3795	4667				
1804	2460	3366				
17814	2196	2197				
2196	2197	4637				
1805	1806	2196	2197	2280	3946	
1905	1907	2276	3059	3946	5741	
1905	3795	3945	3946	591		
1803	1805	1806	1905	2784	3946	591
1805	1806	1905	3059	3546	3946	591
1805	1806	1905	2276	3059	3946	5741
1805	1806	1905	2197	2276	3059	3946
1805	1806	1811	1905	2276	3059	3946
1738	1905	3946	5741			
1905	1906	1907	1908			
1905	4476	5741				
1526	1905	1907	2276			
1905	1908	2287	2591	2784	591	
1528	1905	5741				
1905	2781	3945	591			
1526	2145	652				
1805	1806	1808	2280	3059	591	
1808	2287	2781	3059	591		
1808	2591	2784	3546	591		
1528	1808	3546	591			
1808	1908	2205	2287			
1804	1805	1806	1807	1808	1809	
1804	1808	1908	2591			
1332	1333	1335	4387			
1335	1385	1907	3060	4207		
1335	4207	5565				
2288	2290	3434				
1385	3434	4666	7139			
1385	3434	4387	4666			
1172	3946	4387	4666			
12885	1907	4387				
1528	2781	3335	3948			
1528	1803	2144				
1528	1803	2130				
1172	1908	2130	2199			
12885	2202	5565				
1791	2590	3060				
1390	2145	2590				
2287	2288	2290	3059			
2205	2206	3540				
1172	1908	2205	3540			
1172	12885	7139				
1385	1907	3060	4207	4666		
1385	3060	3539				
2781	3060	591				
1806	3059	3946	4666			
1907	3946	4666	7139			
1172	1805	1806	3946	591		
2274	4469	4470	4667			
4469	4470	4471	4472			
1738	17814	1811				
1524	1526	1527	1540			
2274	3795	4470	4667			
1809	3462	3541				
1809	1906	3462				
2276	2277	3969				
