1472	7558	858																	
1665	313	630	631																
1152	1665	631																	
1665	2042	3330	3894																
1665	3863	3894	3895	485	711														
1060	1152	1471	33																
1060	1471	33	482																
1454	2034	2040	33																
33	4073	662																	
33	4073	438	488																
1029	1508	3054	3330	481															
1927	3330	438	631																
1355	1686	1839	218	2601	3054	3131	314	3330	3895	438	481	485	589	590	632	992			
1355	1611	1686	1839	2601	3054	3131	314	3330	3863	3894	3895	438	479	485	590	632	755	992	
1355	1686	1839	218	2221	2601	3054	3131	314	3330	3586	3731	3863	3894	3895	438	485	590	992	
1839	2034	2221	2601	3054	3131	314	3330	3586	3863	3894	3895	438	479	481	485	590	755	992	
1355	218	2305	2601	3330	3894	3895	479	485											
2042	2078	313	3588																
1691	2272	3153	3588																
1688	2078	3131	3588																
1508	2078	2322	3588																
1355	2078	3131	314	3588	3863	3894	590	711	755										
3054	313	3131	314	3588	3863	438	711												
1033	2040	3588																	
1690	1925	3588																	
1356	3588	630	631																
1687	3076	3587	3588	3863															
2322	3541	3588	3894																
3541	3588	4074	631																
1061	3541	3588	4073	4074															
1061	2221	3131	3153	3588															
1061	3588	4073	662																
2272	2322	3588	3894	438	711														
1927	3130	3588	662																
3130	3131	3588	3895	485															
1029	1508	3054	3588	5168															
1927	3588	630	662																
3076	3588	3895	3896																
1028	1355	3076	3131	3588	3863	3894	3895	438	479	485	711	755							
1028	1355	2221	3054	3131	314	3153	3586	3588	3863	3894	3895	438	481	485	590	711	755		
1028	1469	1611	1686	1839	2601	3131	3588	3894	3895	438	479	485	632	755	854	992			
1028	1355	1686	1839	2601	3076	3131	3588	3863	3894	3895	438	479	485	632	755	992			
1028	1355	1686	1839	2221	2601	3054	3131	314	3586	3588	3731	3863	3894	3895	438	485	590	755	992
1028	1355	1686	1839	2601	3054	3131	314	3588	3731	3895	438	485	589	590	992				
1028	1355	1469	1686	1839	2601	3054	3131	3588	3895	438	485	589	632	992					
1028	2034	2601	3054	3131	3588	438	479	5168	632										
1028	2601	3054	3131	3588	3731	438	5168												
1028	1032	2305	3588	3894															
1028	3056	3152	3588	633															
1028	3588	479	632	633															
1028	2034	2601	3588	3894	479	662	854												
1028	2034	3056	3588	3863	3894	662													
1028	1029	1686	1839	2601	3076	3588	3863	992											
1925	1927	3588	3863																
1469	1925	3588	3863	3894															
3054	3588	360	3731	438															
1927	3076	3408	3588	662															
2039	2040	2041	2042																
1372	2039	3540	3730																
1473	1550	1814	2041	591	633														
1473	2041	3439	3894	711															
1471	2041	2268	3439	3590															
1471	1683	2041	2272	2284	2858	3540													
1471	1473	2041	2858	3540	591	633													
1471	2041	2270	2858	3057	3540	3590													
1454	1471	2041	2270	2284	2858	3540	3730												
1454	1471	2040	2041	2270	2858	3540	3590	3730											
1812	1814	2041	2858	3057	3540	3590	591												
1061	2041	2284	2858	3540	3730	633													
1471	2041	2858	482	547	591														
1471	1473	2041	2858	482	591	633													
1471	1473	1683	2041	2272	4073														
1471	1683	2041	3590	4073															
1812	1814	2038	2041																
2038	2040	2041	2270	3894															
1471	2041	20491	3057	3540	3590	591													
1690	3103	482	547	711															
1356	3103	547																	
2078	3103	3131	3863	547	711	755													
1469	2034	2601	3054	3103	3131	3863	438	632	755										
1472	4370	487																	
1032	13843	2268	6259																
13843	1470	1471	3439																
13843	3129	5103	5652																
13843	17814	5103	5652																
13843	20491	3590	6259																
13843	1473	1550	3129																
13843	1473	1550	17814																
13843	1470	3439	365	3894															
3965	482	547																	
218	2305	2601	485	547															
2034	218	2601	3054	3131	3863	438	485	547	632										
2038	438	547																	
365	438	547																	
1061	3541	482																	
1683	2858	365	482	591	634														
1683	1684	1685																	
1683	2272	2858	591	634															
1683	1688	17803																	
3895	487	488																	
3587	487	858																	
219	220	4370																	
2221	4369	4370																	
2078	4370	662																	
1060	1061	363	364																
1372	363	5168																	
1060	1153	1355	363																
1028	1060	1355	3054	314	363	3863	479	590											
1028	1029	1686	1839	2601	314	363	590	854	992										
1028	1355	1686	1839	2601	3054	3131	314	3153	363	438	589	590	992						
1028	1355	1611	1686	1839	2221	2601	3054	3131	314	3586	363	3863	438	479	590	992			
3055	3152	633	858																
1612	2323	3055																	
3055	3056	3057																	
1611	3054	3055	3131																
1153	1471	2038																	
1153	1929	858																	
1153	1355	3056	3895	481	485														
1929	2078	3056																	
1928	1929	2323																	
1929	2221	3586																	
218	219	220																	
1028	218	2305	2601	3894	3895	479	485	854											
218	314	3895	438	481	590	711	858												
1028	1355	218	3054	3056	314	3863	3894	3895	438	481	485	590	711						
1028	1355	1611	1686	1839	218	2221	2601	3054	3131	314	3586	3863	3894	3895	438	479	485	590	992
218	2601	3054	3131	314	3586	3587	3731	3863	590										
218	2601	3548	479																
1550	365	591	633	634															
1550	20491	3155	591																
2289	3894	591																	
590	591	711	858																
1550	1814	20491	3546	591															
1812	1814	2858	3546	591	711														
1032	1928	2038	3439																
2038	2272	2284	3056																
1812	1814	711	857																
1470	5103	6121																	
1471	20491	3057	479																
3155	364	5652																	
1550	3152	3155	5652	634															
1470	365	5652	634																
1469	1470	3894	3895																
3155	365	6259																	
1550	2305	3590																	
17	2268	3155																	
17803	1931	2268																	
1473	3155	3439	6121																
1473	2361	6121																	
1454	1455	1473	3730																
2305	3408	3439																	
1060	1471	2269	3730																
1060	1471	3730	486																
1454	1471	1928	2040	3131															
1028	1355	1469	1471	3131	479														
1028	1471	3546	633																
1813	3154	3965																	
1455	2078	634																	
2858	3730	631	633	634															
630	631	632	634																
1060	1061	1151	633																
1060	3130	3896																	
1060	3054	314	3730	3863	590														
2040	2078	2858	3894	711															
2078	2858	3894	662	711															
2270	2284	2858	3540	3730	3896	633													
17	1812	1814	2858	3540															
1689	1690	1691																	
3540	3541	631																	
3152	3540	3730	633																
13887	1813	3154																	
1812	1813	1814	1839																
1612	2078	3130																	
1061	1151	2078																	
2305	3132	488																	
1028	1686	1839	3076	3863	3895	438	479	488	992										
2305	3541	486																	
2078	313	486																	
3730	486	630	631																
3054	486	5168																	
1455	2305	3056	3894	3895	485														
1455	3056	3076	3863	3894	3895	438	485	711											
1455	3054	3730	3731	3863	3894	3895	438	485											
2323	313	3548																	
1356	1454	3408																	
1363	1454	3863																	
1812	1814	3587	711																
1812	3546	6121																	
1687	3054	3730	3863	3894	3895	438	485												
2270	3730	630	631																
3054	360	3730	438	711															
2269	2270	2271	2272	3894															
1152	2272	3056																	
1928	1931	9466																	
1028	1355	2221	2271	3054	3131	314	3153	3586	3863	3894	3895	438	485	590	755				
1028	1355	1469	2271	3054	3131	3863	3894	3895	438	479	485	755							
1926	1927	662																	
1686	1839	1926	3131	314	590	992													
3130	3131	3132																	
17803	219	220	6370																
3056	855	856																	
1028	479	854	856																
1363	2040	3894	3895	485															
1363	2272	3894	3895	485															
1028	481	9466																	
1028	3408	996																	
1028	4074	992	996																
1220	12978	6370																	
2078	590	858																	
