2394	2645	4919																	
1025	1924	2259	2394																
1924	2259	2284	2394																
1162	1173	2394	469	5652															
1025	1162	13843	2394	469	5652														
1162	2284	2394	4899																
1714	237	2394	5652																
1558	1714	2394	5652																
1994	2158	2394	5158																
1558	2394	5158	5652																
1173	1990	237	2394	4919															
1245	4864	5652																	
1162	1994	302	5652																
2223	2444	2645																	
1708	2645	2646																	
1865	2645	5091																	
1176	1994	2158	2939																
1444	1994	2158	2305	2400															
13843	1443	15091	1994	862															
13843	1443	1994	3500																
1444	1994	2937	862																
1994	3500	4864																	
1444	1716	1994	5158																
1994	1997	1999																	
1176	1709	1710	1994	2400															
1173	1988	237	2937																
1173	1247	237	4865																
1022	1173	1174	469																
1173	1928	1990	2219	2444	5092														
1173	1174	1175	1176																
1173	1444	1716	1928	5092															
1071	1246	237																	
1071	1162	237	2937																
1071	237	2937	3500																
1988	237	301																	
237	238	239	240	241	242														
1022	2268	469	4919																
1717	469	5158																	
1162	1961	469																	
1285	1554	2395																	
2323	2395	2399																	
2395	2643	2942																	
1928	2159	2259																	
1555	2159	2160	2259																
1163	1176	2259	2400																
15091	2159	2259																	
1176	1479	1717	2259																
107	1174	1286	2223	2259	2284	3463	3730												
1999	2259	2643	3463																
1444	1558	1990	2219	2398	2401														
1556	1990	2398	2399																
1478	1990	2219	2401	5092															
1444	1928	1990	2219	2401	5092														
1174	1922	1990	1991	2219	2284	3730	5092												
1990	2219	2366	2398	2444	3714	5092													
1174	1922	1990	2219	2270	2284	2398	302	3730	5092										
1174	1922	1990	2219	2284	2398	240	302	3730	5092										
1444	1556	1990	2398	3714	5092														
1025	1162	1165	13843																
1162	1163	1164	1165																
1066	1071	1162																	
1714	2189	2939																	
1712	1713	1714																	
1713	1714	1715	1716																
1025	1928	2258	4919																
1025	2210	2289																	
1025	2272	4919																	
1025	15091	2258	227																
1024	1025	227	4919																
1444	1558	2158	4864																
2158	2159	2160	302																
1865	2158	2270	2272																
1443	2158	3730																	
107	1165	1444	2158																
1022	1713	2158	2305																
1176	1713	2158	2305																
1022	1165	1174	1922	2158	2223														
1022	1174	1922	2158	2223	2270	2400													
107	1174	1922	2158	2398	302	3730													
1023	1117	1174	1922	2158	3730														
1022	1071	2158	2937																
1022	1023	1163	2158	2400															
1117	1955	2158	3730																
1175	2158	2443	2937																
1177	1558	865	866																
1558	1991	865																	
1177	1444	1558	2398	3714															
1071	1177	1286	1558	3463	3714														
107	1071	1286	1558	226	3463														
107	1286	1558	302	3463	3668														
107	1286	1450	1558	226															
107	1558	1867	2272																
1177	1556	1712	1917	227	4919														
1712	1917	1989	2268	4919															
1955	4919	4920																	
1174	1286	2223	2284	2366	3463	3730													
107	1174	1286	1922	1991	2223	2284	3463	3730											
2210	2223	2284	3463	3730															
1867	2258	2289																	
1286	1867	2399																	
1247	13843	4865	4899																
1555	1709	1710	4899																
10898	1247	13843	4865																
1180	13843	2159	2268																
1165	1180	5158																	
1243	1245	1246	1247	4860	4864														
1243	1245	1246	4858	4860	4863	4864													
1245	1443	1444	15091																
107	1174	1286	1922	2223	2400	302	3730												
1920	1921	300	302																
300	301	302																	
1174	1176	302	3463																
1174	1711	1922	2219	2270	2398	302	3730	5092											
1116	1134	1135	1136	1920	2219	239	240	241	242	302	3464	360	3668	478	5092	695			
