2655	2656	357															
2434	2799	3556	3833	3837	744												
1653	2799	3556	631	744													
743	744	745	746	747													
2351	743	744	746	747													
134	1653	744															
1356	630	631	743	744													
630	631	632	634														
1665	1924	2799	3556	630	631												
1665	2436	3556	631	743													
1991	2858	4975	631	633													
1152	1665	2799	631														
1834	630	631															
2416	630	631															
5091	630	631	632														
1991	2436	2462	2710	3837	5091	631											
3840	5507	7256															
1653	1654	7256															
2367	2384	2388	7256														
17803	2801	7256															
6712	7256	8299															
2378	4029	4040	4041	6015	7256												
1653	2436	3076	3408														
2396	3131	3408	3560	3833													
227	3408	3555	3558	3560	3562	743											
1226	227	230	2436	3076	3408	3560	3562										
3076	3136	3408	3562														
1653	235	3561	3563														
1653	2078	238	3512	3563													
2078	232	235	2799	3563													
1991	2027	2436	2462	2516	275	2799	3514	3563	3833								
1997	2027	2078	2436	2462	2516	2799	3514	3563									
1997	2434	2436	2516	2799	3556	3563	3837										
2027	3076	3418	3562	3563													
2027	3511	3513	3563														
1991	2027	2434	2436	2516	3514	3563	3833	5091									
2395	3130	3563	359														
1832	2395	3563	842														
1832	2395	3514	3556	3563													
1508	1654	3511	3560	3563													
1355	2020	2078	2436	3560	3563												
1355	1821	227	2436	3560	3563												
1355	227	230	2436	3076	3131	3560	3563										
1832	1991	2078	3130	3131	3560	3563											
2020	2078	3138	3513	3560	3563												
1832	1991	2020	2078	3560	3563												
1822	1823	1824	1825	1826	2078	227	3560	3563	4975								
1823	1826	2078	227	3560	3563	4975	4980										
1997	2078	227	2436	2710	3560	3563											
1508	2078	227	3558	3560	3563												
2078	3329	3413	3560	3563	4975												
134	3511	3512	3560	3563													
2020	273	3560	3563														
2069	273	3560	3563														
1737	229	3557	3560	3563													
1825	1829	1917	227	229	3560	3563											
227	229	235	2389	3432	3560	3563											
227	229	230	3557	3560	3563	841											
227	229	230	3557	3559	3560	3563											
227	229	230	2356	3557	3560	3563											
10086	227	228	229	230	231	232	233	235	236	3560	3563	4850					
229	3131	3413	3560	3563													
1832	3130	3560	3563	3838													
10086	227	232	235	3560	3563	5341	5507										
1991	2396	3138	3560	3563	3833	5091	646										
238	2436	3131	3560	3563	3833	632											
1991	2436	3076	3131	3556	3560	3563	3833	646									
1991	2383	3556	3560	3562	3563												
2350	3556	3557	3560	3562	3563	3564	3566										
1825	1826	1840	1918	1920	3560	3562	3563										
134	2383	3511	3560	3562	3563												
134	3511	3560	3562	3563	4037												
134	2879	3511	3560	3562	3563												
134	2350	3511	3557	3560	3562	3563											
134	2436	3558	3560	3562	3563												
1826	239	3511	3560	3562	3563	853											
3511	3557	3560	3562	3563	841												
3511	3557	3559	3560	3562	3563												
236	3511	3557	3560	3562	3563												
2350	2356	3511	3557	3560	3562	3563											
227	230	2436	3076	3131	3560	3562	3563	646									
227	2710	3076	3418	3560	3562	3563	3564										
227	232	235	236	3558	3560	3561	3562	3563									
227	3557	3558	3560	3561	3562	3563	3564	841									
227	3557	3558	3559	3560	3561	3562	3563	3564	3565	3566							
227	3418	3557	3558	3559	3560	3561	3562	3563	3564								
227	230	2350	3557	3560	3561	3562	3563	3564	5172								
2176	227	230	2350	2352	2356	3557	3560	3561	3562	3563							
227	2350	2352	3557	3560	3561	3562	3563	8333									
1817	227	232	235	3558	3560	3562	3563	5507									
227	2352	2358	3560	3562	3563	5507											
227	232	2436	3558	3560	3562	3563	5507										
1821	1825	1826	1829	227	3560	3562	3563	5507									
1822	1823	1826	1917	227	232	235	2424	3560	3562	3563	4850	4975					
227	228	230	232	233	235	2350	3560	3562	3563	4850	4975						
