13843	1624	20661	524	605	973													
13843	1624	20661	390	524	605													
20661	3838	3840	521	526	605													
1025	1102	1924	20661	2259	390	605												
2825	3525	390	4510	526	605													
11724	125	1382	13843	1437	605													
2524	329	4510	5479	605	703													
329	4271	4272	4510	5652	605													
1443	3922	605	7607															
1102	122	1443	14445	3946	605													
1857	1870	605	8299	901														
1857	521	605	6054	8299	901													
2144	329	5479	605															
329	521	605	703	8299														
329	3381	5645	605															
1102	1437	3253	605	6054	862													
13843	1538	1624	605															
1102	1869	2259	605	736														
524	5645	605	903	973														
1624	2414	3769	605	7607														
1437	1870	2414	5479	605														
1147	1857	1870	2414	2560	605													
1025	1924	2259	2414	390	605													
1817	1869	2414	5479	605														
1808	2414	3840	524	526	605													
1869	295	4073	605															
14445	4305	5565	605															
1870	1871	1872	20661	2616	788													
1437	20661	2259	3162															
1025	1924	20661	2259	390	573													
1437	1591	1928	20661	2259	3878	5658												
1025	1591	20661	2259	3253	3525													
1924	20661	2259	369	3840	526													
1278	20661	2259	3417	3839	3878	760												
11724	13843	20661	2234	2240	2267	3486												
11724	1278	20661	2625	3417	4924	760												
1437	1928	20661	3878	524	5658													
1025	125	13843	1437	20661	369	524												
1025	13843	1591	20661	5054	5652													
1803	203	20661	2503	3773	526	5652												
1103	1924	20661	486															
125	13843	15319	1591	20661														
125	13843	1803	20661	573	595													
13843	1624	20661	2267	987														
1102	20661	3575	521	7607														
20661	3878	521	9466															
20661	3525	521	9466															
1581	1590	20661	2410	3533	3840	524												
1102	13843	1591	20661	3486	4919	987												
1050	13843	20661	3253	369	5054	760	987											
1025	13843	20661	369	4919	4924	5054	524	760										
1103	1937	20661	3164															
20661	2086	2240	2267	243	307	890	912	987										
20661	3815	3816	788	975														
13843	1591	1871	20661	3439														
1591	20661	2741	3417	760	987													
1588	1590	20661	2283															
20661	2240	573	594	595														
1025	1591	1928	20661	4919	4962	760												
20661	2086	2410	3439	3533	3792	890												
1591	20661	2503	7194															
159	20661	2749	3004	573														
1581	1590	20661	2413	3505	5658													
13843	20661	2234	2734	390	760													
1025	13843	20661	2267	2734	390	524												
1025	1591	20661	2734	3878	4919	760	987											
1025	1591	20661	2734	3505	3878													
1050	20661	2234	2734	3253	3816													
20661	2234	2734	4919	760	788													
20661	214	2734	307	987														
1050	20661	3046	369															
1278	20661	2741	390	760														
1278	20661	2234	3748	973	975													
159	20661	2086	2749	3748	526	973												
20661	3046	3224																
1416	1591	1803	20661	2086	2503	2741	3010											
20661	2741	3046	975															
20661	243	851	987															
1339	20661	390	760															
1437	1870	3417	4899	760														
1870	2259	3840	5181															
1870	2084	2259	2284	2414														
1870	2367	487																
1147	1870	4276	4277	901														
1870	215	2911	3824	4271														
1050	1870	2911	4005	4271	4536	5662												
1050	1870	2825	4271	4272	4510													
1857	1870	196	2084	2087	2414													
1870	3897	4872	4942	5283														
1870	1928	3897																
1870	2825	3824	3949	4510														
1870	4272	4510	5479	788														
1870	2911	4005	4272	4536	5184													
1027	1870	3824	4005	5184														
1870	1871	2911	5658															
2825	2826	2827	400	403	4510													
1811	1868	2825	3946	4510	5282													
1173	1803	2503	2825	4510	526	555	564	5652										
1868	2503	2560	2825	4510	775													
2825	3005	3267	4510															
1273	2825	4510	4899	5662	5741													
2825	2951	4510	5366															
1150	214	2825	3949	4510	5366	901												
2734	2825	3949	4510	555	564	5704	903											
214	2734	2825	4510	5658	901													
2769	2825	3824	4271															
1868	2560	2825	6507															
1868	1869	215	2503	2825	3946													
1924	2259	2260																
115	1174	2084	2223	2259	2570	3021	3839	4306	567	840	917							
17636	2239	2259	8299															
1928	2259	2414	3878	7607														
1382	1928	2259	703															
1118	1278	2259	2437	3253	3839	760												
1146	115	1174	215	2223	2259	2570	3021	3253	3270	3839	567	840	917					
1273	2259	3253	521	6054														
1039	1044	1296	1437	2239	2259	275	3253	519										
1044	1296	158	2259	2570	275	3253	3340	3850	519									
1296	1437	1591	2259	2570	275	3253	3850	3878										
1039	1296	1859	2259	2570	275	3253	3850	519	7666	840								
2239	2259	7194																
15319	2239	2259																
1146	1176	215	2259	3305	3329	3439	840											
1025	2259	5107	6054															
327	4271	903																
1907	2678	3751	903															
1869	2414	2678	3855	903	973													
2503	2678	2703	2734	3077	903													
1173	2678	3751	870	890	903	973												
1173	122	1591	2678	275	7666	903												
1173	1591	2678	2734	3486	564	903												
